City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,gubkinskiy,64.434,76.5026,-1.75,85,10,13.96,RU,1644477288
316,arkhangelskoye,55.8549,35.3287,30.69,98,100,8.66,RU,1644477290
317,pontes e lacerda,-15.2261,-59.3353,69.28,97,100,2.08,BR,1644477293
318,airai,-8.9266,125.4092,64.65,96,100,0.36,TL,1644477295
319,pacific grove,36.6177,-121.9166,61.16,49,0,6.91,US,1644477297
320,mount gambier,-37.8333,140.7667,67.53,46,9,10.09,AU,1644477299
321,hervey bay,-25.2986,152.8535,81.03,61,0,8.99,AU,1644477302
322,pangody,65.85,74.4859,-0.58,88,8,15.39,RU,1644477304
323,khani,41.9563,42.9566,33.37,99,100,2.98,GE,1644477307
324,jablanica,43.6603,17.7617,30.27,75,15,2.59,BA,1644477309
325,nichinan,31.6,131.3667,57.76,63,82,4.41,JP,1644477313
326,valparaiso,-33.0393,-71.6273,65.48,81,100,5.75,CL,1644477316
327,gao,16.6362,1.637,65.17,10,0,10.56,ML,1644477318
328,baihar,22.1,80.55,78.8,31,8,4.38,IN,1644477322
329,orsk,51.2049,58.5668,6.55,96,100,6.76,RU,1644477065
330,pankrushikha,53.8319,80.3406,0.0,86,6,6.33,RU,1644477327
331,taiyuan,37.8694,112.5603,39.06,26,0,4.47,CN,1644477329
332,mukhen,48.1,136.1,14.18,92,100,3.83,RU,1644477333
333,roebourne,-20.7833,117.1333,90.01,58,10,17.47,AU,1644477336
334,nador,35.174,-2.9287,51.87,93,40,3.44,MA,1644477338
335,maracaju,-21.6144,-55.1683,63.88,56,1,1.57,BR,1644477340
336,gigmoto,13.7796,124.39,80.38,70,100,12.59,PH,1644477343
337,kaka,37.3482,59.6143,61.47,23,85,7.23,TM,1644477345
338,talnakh,69.4865,88.3972,-5.8,98,100,10.92,RU,1644477347
339,skjervoy,70.0311,20.9714,28.58,57,17,9.84,NO,1644477350
340,bathsheba,13.2167,-59.5167,77.61,69,40,17.27,BB,1644477352
341,carballo,43.213,-8.691,51.76,89,96,3.91,ES,1644477354
342,lang son,21.8333,106.7333,57.69,87,100,0.65,VN,1644477357
343,saurimo,-9.6608,20.3916,70.16,75,100,4.05,AO,1644477359
344,ternate,0.8,127.4,84.29,69,100,5.95,ID,1644477361
345,bubaque,11.2833,-15.8333,77.83,69,0,9.13,GW,1644477364
346,berberati,4.2612,15.7922,76.69,19,88,4.25,CF,1644477366
347,shingu,33.7333,135.9833,47.91,92,100,1.9,JP,1644477368
348,huarmey,-10.0681,-78.1522,70.63,83,100,5.57,PE,1644477086
349,carutapera,-1.195,-46.02,74.35,94,100,4.97,BR,1644477373
350,caucaia,-3.7361,-38.6531,81.03,75,20,4.61,BR,1644477375
351,benavente,42.0025,-5.6783,39.99,81,32,1.81,ES,1644477377
352,abu dhabi,24.4667,54.3667,68.97,75,0,3.0,AE,1644477233
353,sabang,5.8933,95.3214,82.24,75,100,16.24,ID,1644477382
354,motala,58.5371,15.0365,37.18,71,24,8.01,SE,1644477384
355,puerto escondido,15.85,-97.0667,73.92,78,0,4.7,MX,1644477389
356,atar,20.5169,-13.0499,64.08,15,88,10.33,MR,1644477391
357,thinadhoo,0.5333,72.9333,81.82,72,28,11.25,MV,1644477393
358,daitari,21.1,85.75,79.23,42,46,6.89,IN,1644477395
359,pasighat,28.0667,95.3333,62.22,75,100,2.39,IN,1644477398
360,koslan,63.4564,48.8989,22.93,93,100,10.74,RU,1644477400
361,turbat,26.0023,63.044,75.97,10,0,5.1,PK,1644477403
362,kokopo,-4.352,152.2633,83.01,76,98,5.88,PG,1644477405
363,uniara,26.15,75.2167,68.74,34,0,5.55,IN,1644477407
364,buraydah,26.326,43.975,66.65,22,97,14.94,SA,1644477410
365,sisimiut,66.9395,-53.6735,-10.34,99,100,5.97,GL,1644477412
366,auki,-8.7676,160.7034,79.66,86,100,7.34,SB,1644477414
367,dunda,-8.1167,34.25,69.49,86,100,1.7,TZ,1644477419
368,waipawa,-41.4122,175.5153,70.43,71,100,10.31,NZ,1644477421
369,bukoba,-1.3317,31.8122,74.32,66,100,7.96,TZ,1644477423
370,ewo,-0.8725,14.8206,81.59,61,100,6.06,CG,1644477426
371,grand-lahou,5.1367,-5.0242,77.56,92,10,3.51,CI,1644477428
372,nanchang,28.6833,115.8833,46.0,73,100,4.59,CN,1644477430
373,leningradskiy,69.3833,178.4167,-30.17,97,92,6.62,RU,1644477433
374,aksarka,66.5606,67.7975,5.72,95,97,13.65,RU,1644477435
375,mashhad,36.297,59.6062,51.94,46,0,4.61,IR,1644477437
376,marienburg,54.0359,19.0266,42.96,81,100,8.55,PL,1644477440
377,smestad,59.9333,10.6667,36.63,62,1,7.9,NO,1644477442
378,ambilobe,-13.2,49.05,78.55,89,100,7.34,MG,1644477444
379,portland,45.5234,-122.6762,50.97,91,0,1.01,US,1644477155
380,klaksvik,62.2266,-6.589,32.92,65,100,26.82,FO,1644477449
381,kysyl-syr,63.8986,122.7617,-23.46,97,92,1.36,RU,1644477451
382,ulaanbaatar,47.9077,106.8832,5.13,66,75,8.95,MN,1644477177
383,ribeira grande,38.5167,-28.7,55.8,76,20,6.91,PT,1644477455
384,wenling,28.3669,121.36,52.92,76,95,11.72,CN,1644477458
385,sabinopolis,-18.6661,-43.0839,67.05,100,100,2.91,BR,1644477460
386,novyye gorki,56.7253,41.0601,21.11,96,100,4.65,RU,1644477462
387,khaniotis,39.9991,23.58,49.78,65,0,2.35,GR,1644477465
388,nanakuli,21.3906,-158.1547,73.35,75,20,3.44,US,1644477467
389,pathein,16.7833,94.7333,94.39,9,100,2.42,MM,1644477469
390,olga,43.7444,135.2892,29.97,58,100,3.44,RU,1644477472
391,goderich,43.7501,-81.7165,36.21,86,100,13.8,CA,1644477474
392,te anau,-45.4167,167.7167,65.37,73,13,6.11,NZ,1644477476
393,ixtapa,20.7,-105.2,64.22,81,0,3.44,MX,1644477374
394,grand-santi,4.25,-54.3833,72.05,98,100,2.19,GF,1644477481
395,vila velha,-20.3297,-40.2925,73.35,86,100,5.75,BR,1644477483
396,marsh harbour,26.5412,-77.0636,72.41,73,100,9.42,BS,1644477486
397,labuhan,-6.8844,112.2051,81.66,80,100,7.65,ID,1644477488
398,olafsvik,64.8945,-23.7142,32.83,62,100,17.65,IS,1644477490
399,mormugao,15.4,73.8,83.46,51,20,5.75,IN,1644477492
400,lahan,26.7296,86.4951,74.44,43,0,6.62,NP,1644477495
401,gamba,-2.65,10.0,79.0,87,94,5.14,GA,1644477497
402,itaueira,-7.6033,-43.0256,70.5,96,100,2.57,BR,1644477499
403,zhangye,38.9342,100.4517,31.57,30,99,6.64,CN,1644477504
404,ormara,25.2088,64.6357,72.59,24,0,1.39,PK,1644477506
405,teahupoo,-17.8333,-149.2667,76.53,77,10,16.37,PF,1644477510
406,morondava,-20.2833,44.2833,83.37,71,30,5.7,MG,1644477513
407,monte carmelo,-18.7247,-47.4986,65.98,99,100,3.49,BR,1644477515
408,filingue,14.3521,3.3168,66.99,12,23,9.44,NE,1644477517
409,les cayes,18.2,-73.75,73.62,85,14,3.6,HT,1644477520
410,mweka,-4.85,21.5667,75.04,80,60,3.74,CD,1644477522
411,karachi,24.9056,67.0822,78.62,19,0,8.05,PK,1644477419
412,kargasok,59.0556,80.8572,-2.67,89,20,4.34,RU,1644477527
413,paka,4.6374,103.4368,80.53,78,40,11.5,MY,1644477529
414,karratha,-20.7377,116.8463,90.46,56,11,17.85,AU,1644477531
415,naryan-mar,67.6713,53.087,16.93,90,100,22.08,RU,1644477534
416,minbu,20.1833,94.8833,86.13,19,9,4.7,MM,1644477538
417,latung,5.5,120.8833,81.23,77,100,3.91,PH,1644477540
